time,lr,fb,ud,yaw,cx,cy,area
7.648,0,0,30,-30,0,0,0
7.681,0,0,30,-30,0,0,0
7.731,0,0,30,-30,0,0,0
7.754,0,0,30,-30,0,0,0
7.792,0,0,30,-30,0,0,0
7.826,0,-15,-30,30,392,357,38416
7.856,0,-15,-30,30,394,356,39204
7.889,0,-15,-30,26,393,357,40000
7.92,0,-15,-30,30,395,358,40000
7.952,0,0,30,-30,0,0,0
7.984,0,0,30,-30,0,0,0
8.016,0,0,30,-30,0,0,0
8.048,0,0,30,-30,0,0,0
8.079,0,0,30,-30,0,0,0
8.112,0,-15,-30,30,402,359,36481
8.144,0,0,30,-30,0,0,0
8.19,0,0,30,-30,0,0,0
8.223,0,-15,-30,30,407,358,37249
8.26,0,-15,-30,30,411,358,40000
8.288,0,-15,-30,30,411,358,40000
8.323,0,-15,-30,30,414,356,36481
8.352,0,-15,-30,30,416,359,39204
8.383,0,-15,-30,30,414,361,38416
8.417,0,-15,-30,30,417,358,41209
8.447,0,-15,-30,30,418,357,39601
8.478,0,0,30,-30,0,0,0
8.51,0,-15,-30,30,419,357,38416
8.544,0,0,30,-30,0,0,0
8.59,0,0,30,-30,0,0,0
8.622,0,0,30,-30,0,0,0
8.655,0,0,30,-30,0,0,0
8.686,0,0,30,-30,0,0,0
8.719,0,0,30,-30,0,0,0
8.751,0,0,30,-30,0,0,0
8.783,0,0,30,-30,0,0,0
8.814,0,0,30,-30,0,0,0
8.848,0,0,30,-30,0,0,0
8.878,0,0,30,-30,0,0,0
8.911,0,0,30,-30,0,0,0
8.942,0,0,30,-30,0,0,0
8.99,0,0,30,-30,0,0,0
9.024,0,0,30,-30,0,0,0
9.057,0,0,30,-30,0,0,0
9.088,0,0,30,-30,0,0,0
9.121,0,0,30,-30,0,0,0
9.149,0,0,30,-30,0,0,0
9.183,0,-15,-30,30,417,363,40804
9.216,0,0,30,-30,0,0,0
9.246,0,-15,-30,30,419,363,44944
9.28,0,-15,-30,30,420,364,44944
9.31,0,-15,-30,26,416,364,46225
9.36,0,-15,-30,30,415,364,46225
9.392,0,-15,-30,30,413,367,41616
9.425,0,-15,-30,30,416,366,40804
9.457,0,-15,-30,24,412,366,40000
9.488,0,-15,-30,29,410,365,40401
9.519,0,-15,-30,30,410,364,42849
9.55,0,-15,-30,30,412,363,41209
9.584,0,-15,-30,30,412,363,41616
9.615,0,-15,-30,30,413,363,41616
9.649,0,-15,-30,30,412,362,39601
9.68,0,-15,-30,30,413,359,41209
9.713,0,-15,-30,30,412,363,42436
9.76,0,-15,-30,30,411,360,43264
9.791,0,-15,-30,19,406,360,41616
9.823,0,-15,-30,30,407,358,43681
9.857,0,-15,-30,30,408,361,44521
9.887,0,-15,-30,28,406,358,44100
9.921,0,-15,-30,30,406,358,44100
9.952,0,-15,-30,24,403,358,44100
9.983,0,-15,-30,30,404,358,44100
10.017,0,-15,-30,30,403,358,43264
10.048,0,-15,-30,30,405,358,42025
10.081,0,-15,-30,30,405,358,46225
10.112,0,-15,-30,30,406,359,41616
10.161,0,-15,-30,30,408,361,40401
10.191,0,-15,-30,28,406,360,41616
10.224,0,-15,-30,30,409,364,44100
10.257,0,-15,-30,30,410,361,42849
10.289,0,-15,-30,30,409,361,40804
10.322,0,-15,-30,30,410,361,43264
10.353,0,-15,-30,30,411,360,44100
10.386,0,-15,-30,30,410,360,42849
10.418,0,-15,-30,30,410,360,42849
10.45,0,-15,-30,30,410,361,42436
10.481,0,-15,-30,30,414,364,39204
10.514,0,-15,-30,30,412,362,38809
10.561,0,-15,-30,30,413,363,38416
10.624,0,-15,-30,30,414,363,36864
10.652,0,-15,-30,30,414,363,38025
10.677,0,-15,-30,30,413,362,38025
10.705,0,-15,-30,30,412,363,38416
10.735,0,-15,-30,30,416,362,38025
10.759,0,-15,-30,30,416,361,38416
10.786,0,-15,-30,30,416,364,38416
10.817,0,-15,-30,30,418,362,40401
10.849,0,-15,-30,30,419,360,39204
10.881,0,-15,-30,30,420,363,40401
10.913,0,-15,-30,30,422,365,42025
10.962,0,-15,-30,30,422,364,42849
10.994,0,-15,-30,30,421,363,39204
11.026,0,-15,-30,30,425,361,40401
11.059,0,-15,-30,30,423,361,39601
11.089,0,-15,-30,30,423,361,40000
11.122,0,-15,-30,30,421,360,41209
11.155,0,-15,-30,30,422,359,41616
11.188,0,-15,-30,30,423,358,40401
11.219,0,-15,-30,30,424,359,38809
11.249,0,-15,-30,30,426,363,38025
11.291,0,-15,-30,30,428,364,40000
11.333,0,-15,-30,30,426,360,40804
11.364,0,-15,-30,30,426,360,40804
11.396,0,-15,-30,30,427,361,43681
11.429,0,-15,-30,30,427,362,40804
11.462,0,-15,-30,30,426,365,44100
11.494,0,0,30,-30,0,0,0
11.526,0,-15,-30,30,426,365,40804
11.584,0,-15,-30,30,427,365,42849
11.614,0,-15,-30,30,431,368,43264
11.638,0,-15,-30,30,430,363,44100
11.662,0,-15,-30,30,428,367,44100
11.685,0,-15,-30,30,428,366,44100
11.729,0,-15,-30,29,424,361,36864
11.761,0,-15,-30,30,422,361,40000
11.793,0,-15,-30,30,421,358,42849
11.825,0,-15,-30,30,421,362,45796
11.857,0,-15,-30,30,419,363,45796
